product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
"Croustillant Avoine, Blé & Riz",Favrichon,c,France,18.0,7.6,0.01,1.3,420.0
Muesli,Alpen,b,United Kingdom,18.0,8.0,0.275,0.9,368.888888888889
Krounchy nature,Grillon d'Or,c,Belgium,20.0,5.9,0.05,1.7,439.0
Fibra,Carrefour,c,Belgium,20.0,8.9,0.41,3.6,356.0
granola,Marque Repère,c,France,14.0,8.9,0.01,4.5,464.0
Muesli croustillant chocolat,Bio Village,c,France,15.0,7.3,0.04,4.1,445.0
Krounchy sans gluten amande,Grillon D'or,c,France,18.0,6.2,0.04,1.8,446.0
Granola fruits rouges,U,b,France,17.0,7.4,0.01,1.3,421.0
oat granola,dorset cereals,c,en:United Kingdom,16.5,5.0,0.03,1.7,442.0
Muesly croustillant cruchy chocolat noir intense,Carrefour,c,France,19.0,9.0,0.1,3.8,441.0
Weetabix,Weetabix,a,France,4.2,10.0,0.28,0.6,272.0
Bran Flakes,Kellogg's,b,France,14.0,17.0,0.66,0.4,366.666666666667
Gloriously nutty muesli,dorset cereals,a,France,8.4,8.1,0.03,2.0,415.0
Crok' fondant noisettes,Terres & céréales Bio,c,France,17.0,9.3,0.12,2.2,437.0
